,model,vectorization,vector-size,accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro
4,sklearn_knnclf,tfidf,2000,0.848625372639947,0.848625372639947,0.848625372639947,0.848625372639947,0.8283526525367803,0.4252843629165791,0.43376912393434197
6,sklearn_linsvc,bagofwords,1000,0.8489566081483935,0.8489566081483935,0.8489566081483935,0.8489566081483935,0.6688964587340626,0.45503659913668104,0.43141165554366284
39,sklearn_ranfor,tfidf,1000,0.84928784365684,0.84928784365684,0.84928784365684,0.84928784365684,0.9043549757151484,0.36208021861837686,0.39134108256490063
31,sklearn_percep,bagofwords,2000,0.851937727724412,0.851937727724412,0.851937727724412,0.851937727724412,0.6760972031165368,0.5224750520298993,0.48290231952854107
27,sklearn_pasagg,tfidf,1000,0.8549188473004306,0.8549188473004306,0.8549188473004306,0.8549188473004306,0.6779998103574886,0.5204641200311892,0.4867766906110868
15,sklearn_logreg,tfidf,1000,0.8569062603511096,0.8569062603511096,0.8569062603511096,0.8569062603511096,0.9141786657444726,0.3522200899010891,0.36798680275689977
16,sklearn_logreg,tfidf,2000,0.8578999668764492,0.8578999668764492,0.8578999668764492,0.8578999668764492,0.9204668902007391,0.34079565783375027,0.3633656814150956
21,sklearn_mlpclf,tfidf,1000,0.8582312023848957,0.8582312023848957,0.8582312023848957,0.8582312023848957,0.8040000161946872,0.47538111960524887,0.4877799344190945
18,sklearn_mlpclf,bagofwords,1000,0.8588936734017887,0.8588936734017887,0.8588936734017887,0.8588936734017888,0.8065624354896417,0.4233897776899331,0.43584112436355316
34,sklearn_percep,tfidf,2000,0.8622060284862537,0.8622060284862537,0.8622060284862537,0.8622060284862537,0.6863797262821039,0.5664696591134065,0.49552895356764937
7,sklearn_linsvc,bagofwords,2000,0.8628684995031467,0.8628684995031467,0.8628684995031467,0.8628684995031467,0.8122595728342772,0.4965596366035544,0.5052154426379638
12,sklearn_logreg,bagofwords,1000,0.8641934415369328,0.8641934415369328,0.8641934415369328,0.8641934415369328,0.7954051436215899,0.45336154655604793,0.45240241527573466
25,sklearn_pasagg,bagofwords,2000,0.8658496190791652,0.8658496190791652,0.8658496190791652,0.8658496190791652,0.7832779721875602,0.4915689369936367,0.5001524100297884
19,sklearn_mlpclf,bagofwords,2000,0.8711493872143093,0.8711493872143093,0.8711493872143093,0.8711493872143093,0.8634253315258077,0.5080101483508622,0.5242849910640744
13,sklearn_logreg,bagofwords,2000,0.8734680357734349,0.8734680357734349,0.8734680357734349,0.8734680357734349,0.8505746614843379,0.47371495659010443,0.48803738170767397
45,sklearn_sgdclf,tfidf,1000,0.8734680357734349,0.8734680357734349,0.8734680357734349,0.8734680357734349,0.8266281491535756,0.4591696954460855,0.4573991237411213
28,sklearn_pasagg,tfidf,2000,0.8741305067903279,0.8741305067903279,0.8741305067903279,0.8741305067903279,0.7812283223783084,0.5621455814911605,0.5574020706329843
9,sklearn_linsvc,tfidf,1000,0.876117919841007,0.876117919841007,0.876117919841007,0.876117919841007,0.8178759241373832,0.49375277343785573,0.4912635555495794
22,sklearn_mlpclf,tfidf,2000,0.8764491553494534,0.8764491553494534,0.8764491553494534,0.8764491553494534,0.819467722917742,0.525886098393777,0.5439071339246225
10,sklearn_linsvc,tfidf,2000,0.8873799271281881,0.8873799271281881,0.8873799271281881,0.8873799271281881,0.8621043287678097,0.5358740524480117,0.552579135604407
46,sklearn_sgdclf,tfidf,2000,0.8887048691619741,0.8887048691619741,0.8887048691619741,0.8887048691619741,0.8732171565249754,0.516359494325289,0.5297712817269168
